Age;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
0;6914;6347;6560;6351;5280;5276;5288;5747;5145;5118;4981;4475;4462;4389;4126;4188;3946;4110;4077;3959;3566;3880;3932;3825;3943;4026;4174;4193;4142;3845;4019;0
1;710;577;588;516;553;515;509;414;487;468;442;399;425;390;355;357;346;346;332;317;312;308;284;332;305;286;320;286;319;235;255;0
2;418;381;321;310;272;312;301;302;269;247;299;289;275;227;219;220;222;206;228;191;177;179;197;184;173;199;156;187;207;189;185;0
3;299;269;281;246;240;208;256;227;259;204;220;190;183;192;171;168;157;183;158;153;120;157;149;132;161;153;142;131;124;92;117;0
4;271;247;235;192;215;203;191;160;133;180;178;152;172;130;142;131;129;135;113;98;100;121;124;108;111;119;102;122;116;99;117;0
5;221;230;214;200;194;160;159;194;203;142;135;139;132;113;124;119;99;111;120;97;115;91;135;93;99;109;103;86;99;74;100;0
6;248;198;153;187;175;169;164;153;152;140;151;141;125;119;122;116;99;108;109;104;96;93;95;99;94;94;83;89;83;64;88;0
7;189;177;182;176;170;156;158;155;127;132;113;131;124;91;110;82;104;74;86;87;83;82;100;91;87;73;83;64;80;65;71;0
8;191;183;215;182;141;169;150;156;153;125;110;115;95;100;105;89;103;82;94;85;82;77;81;87;94;73;69;67;59;78;66;0
9;179;156;165;148;150;144;168;146;120;143;116;146;114;91;81;96;84;79;78;76;82;79;89;85;84;69;56;71;86;82;60;0
10;194;147;178;180;143;150;157;124;154;114;123;115;122;108;96;86;73;93;95;95;73;72;79;75;64;89;72;81;58;60;65;0
11;210;182;180;154;174;164;134;148;156;142;118;116;97;97;101;99;93;101;96;88;76;89;88;85;80;80;90;80;70;76;66;0
12;220;175;175;213;195;175;175;168;155;169;178;135;143;120;94;126;116;106;100;115;99;100;76;92;92;69;83;96;85;96;93;0
13;234;222;213;229;192;198;208;202;177;170;170;178;163;151;135;146;113;109;113;107;99;98;109;108;124;89;87;98;105;107;111;0
14;259;268;244;284;253;272;249;240;225;238;245;197;211;169;162;161;151;146;176;135;160;155;159;121;134;130;122;124;120;118;115;0
15;360;335;358;346;402;367;347;299;307;316;315;241;235;230;219;223;200;182;221;220;172;169;142;159;202;157;149;165;165;144;153;0
16;463;417;496;405;429;409;417;389;408;387;402;352;353;305;322;275;256;258;245;284;250;196;195;190;241;171;199;204;207;176;191;0
17;574;561;564;535;470;542;513;500;534;423;477;435;393;370;370;383;348;287;354;272;284;280;266;245;244;242;243;201;231;212;208;0
18;786;781;721;674;695;666;675;726;736;652;675;676;528;544;506;448;453;444;416;389;377;399;324;307;346;321;303;306;356;345;265;0
19;882;827;843;767;740;751;788;746;784;720;792;629;629;586;558;517;459;460;469;468;448;449;399;364;382;392;336;380;366;338;363;0
20;1033;865;925;819;799;742;757;779;874;741;764;751;653;637;614;542;562;487;494;479;478;471;426;430;410;391;421;377;371;394;407;0
21;1012;988;1004;987;880;820;840;870;826;738;758;702;649;612;613;562;557;547;570;447;510;483;421;364;471;404;450;453;398;412;425;0
22;1082;1004;1034;948;918;904;803;894;847;732;771;791;692;639;588;525;528;574;501;536;523;505;469;450;384;439;450;412;407;425;449;0
23;1084;1027;943;984;895;858;797;784;877;755;709;704;721;638;680;572;613;581;575;564;504;479;482;423;450;466;443;460;414;415;407;0
24;1087;1031;1011;998;1010;878;856;821;794;742;738;695;624;652;600;633;545;600;582;544;543;490;485;442;472;445;404;474;441;406;433;0
25;1096;1072;1026;1043;946;911;823;858;845;746;791;767;600;625;642;551;600;578;582;554;567;537;518;503;472;465;471;482;423;468;450;0
26;1196;1084;1036;1045;1033;983;923;846;863;741;715;737;745;637;662;662;645;584;597;570;576;573;552;514;502;531;471;471;536;436;473;0
27;1203;1136;1111;1105;1066;1004;853;884;891;780;790;764;701;655;618;607;658;621;596;571;601;559;475;532;507;521;485;447;491;462;484;0
28;1204;1263;1201;1171;1145;1007;887;839;866;772;786;762;701;623;655;623;647;627;670;665;626;601;575;570;525;527;529;498;562;526;518;0
29;1284;1229;1323;1247;1246;1040;980;908;897;827;800;777;714;698;661;640;630;646;628;629;566;561;546;610;599;568;572;609;515;525;548;0
30;1293;1316;1340;1369;1267;1171;1043;997;983;834;865;806;812;747;720;638;665;652;670;641;640;605;579;632;571;539;543;558;606;563;564;0
31;1355;1389;1413;1369;1288;1236;1037;996;983;947;847;855;818;757;788;747;650;679;647;652;667;608;601;548;697;615;599;563;617;609;609;0
32;1433;1405;1428;1377;1430;1204;1117;1046;1060;989;914;924;906;741;816;738;725;720;769;706;672;711;630;690;589;634;656;637;642;557;625;0
33;1425;1491;1495;1488;1449;1377;1075;1093;1092;1011;1032;944;940;956;850;789;752;746;764;790;701;713;710;666;667;676;642;675;689;723;663;0
34;1490;1519;1561;1537;1559;1438;1311;1216;1180;1071;1026;1012;1034;913;929;908;828;829;867;768;775;709;770;749;755;723;677;737;733;739;710;0
35;1634;1703;1627;1687;1600;1544;1304;1290;1280;1195;1210;1083;1159;1038;967;979;922;880;913;831;818;748;762;734;771;738;774;759;783;777;850;0
36;1670;1705;1796;1686;1680;1635;1450;1410;1382;1323;1263;1250;1154;1092;1120;1120;1035;1016;980;971;882;789;923;811;873;795;828;834;780;819;812;0
37;1768;1762;1754;1922;1740;1772;1535;1500;1558;1409;1392;1327;1240;1233;1134;1106;1151;1087;1087;1034;998;929;935;938;916;942;928;914;903;804;926;0
38;1849;1852;1941;1963;1876;1747;1740;1768;1643;1409;1624;1463;1451;1339;1258;1277;1214;1171;1164;1131;1091;1026;1010;1000;989;950;926;984;980;911;886;0
39;2040;2056;2040;1970;2066;1910;1843;1867;1758;1699;1647;1606;1614;1419;1414;1311;1239;1324;1320;1251;1151;1164;1032;1146;1038;1084;1019;1102;1084;1002;1063;0
40;2189;2193;2196;2247;2151;2135;1977;1920;1977;1813;1822;1731;1724;1577;1576;1497;1384;1400;1429;1290;1295;1227;1263;1113;1126;1064;1123;1134;1100;1135;1120;0
41;2465;2248;2380;2280;2346;2334;2196;2162;2206;2077;2052;1954;1838;1787;1673;1623;1602;1560;1564;1559;1383;1459;1344;1262;1270;1187;1161;1259;1202;1231;1256;0
42;2527;2461;2469;2443;2442;2575;2372;2444;2546;2264;2186;2181;2074;1921;1868;1800;1780;1701;1732;1645;1653;1548;1522;1354;1327;1329;1366;1289;1269;1327;1392;0
43;2679;2740;2866;2624;2839;2633;2655;2660;2678;2456;2431;2446;2271;2267;1985;2007;1861;1864;1874;1706;1710;1657;1628;1559;1652;1546;1513;1480;1411;1533;1528;0
44;3039;2965;2893;2956;2887;2827;2801;2774;3016;2765;2685;2564;2514;2419;2316;2166;2147;2130;2097;1999;1859;1882;1781;1786;1772;1676;1539;1632;1565;1552;1567;0
45;3668;3235;3064;3139;3035;3087;3068;3126;3207;2892;3110;2912;2814;2643;2593;2441;2414;2271;2298;2118;2064;2015;1962;1958;1989;1898;1815;1858;1691;1795;1746;0
46;3462;3852;3493;3359;3386;3276;3251;3328;3435;3295;3309;3126;3128;2900;2891;2832;2575;2562;2458;2405;2305;2278;2231;2160;2122;1994;2044;1961;1895;1848;1883;0
47;3817;3708;4318;3786;3597;3542;3536;3558;3745;3479;3500;3494;3412;3180;3141;3067;2849;2807;2808;2731;2494;2490;2455;2307;2432;2348;2200;2197;2201;2166;2027;0
48;4180;4058;4087;4768;3987;3725;3810;3860;4012;3823;3778;3668;3681;3518;3507;3300;3190;3111;3007;2911;2835;2782;2676;2613;2520;2495;2446;2416;2400;2422;2324;0
49;4593;4393;4400;4344;4979;4353;4232;4127;4245;3857;3984;3967;3975;3671;3889;3647;3639;3555;3298;3191;3126;3069;2948;2788;2709;2759;2702;2754;2610;2727;2596;0
50;4111;4835;4568;4794;4728;5102;4514;4446;4729;4320;4164;4219;4314;4220;4140;4097;3819;3752;3744;3581;3348;3369;3321;3058;3094;2998;2899;2937;2937;2923;2897;0
51;4915;4437;5248;5069;4929;4906;5497;4871;4874;4544;4519;4480;4646;4349;4421;4511;4173;4259;4095;4039;3874;3719;3565;3381;3379;3174;3249;3194;3137;3272;3285;0
52;5489;5149;4775;5683;5295;5204;5028;6189;5541;5039;4797;4853;4820;4589;4495;4635;4593;4505;4410;4258;4248;3991;3816;3799;3638;3440;3524;3470;3471;3521;3502;0
53;5666;5698;5534;5073;5756;5819;5798;5467;6448;5298;5245;5268;5214;4893;5000;4930;4942;4798;4789;4781;4409;4555;4141;3951;3955;3921;3919;3811;3780;3690;3871;0
54;6378;6271;6116;6003;5200;6268;5992;6128;6115;6337;5603;5562;5537;5332;5240;5240;5111;5097;5176;5032;4965;4817;4798;4558;4507;4240;4223;4174;3940;4071;4117;0
55;6821;6590;6756;6564;6107;5771;6639;6538;6743;6229;6890;6101;5968;5570;5599;5414;5644;5552;5637;5411;5446;5350;5033;4948;4916;4669;4557;4596;4457;4409;4467;0
56;7106;7202;7160;7161;6711;6772;6253;6982;7260;6610;6345;7410;6564;5802;5943;6019;5646;6035;5933;5982;5655;5669;5497;5300;5379;5224;5101;5059;4876;4886;4897;0
