Annee;population;deces;taux;taux normalise 2021
1991;58280135;537401;9221;14776
1992;58571237;533790;9114;14414
1993;58852002;547376;9301;14496
1994;59070077;536765;9087;13936
1995;59280577;545755;9206;13908
1996;59487413;559401;9404;14034
1997;59691177;552304;9253;13623
1998;59899347;571010;9533;13852
1999;60122665;603403;10036;14426
2000;60508150;550188;9093;12933
2001;60941410;550787;9038;12721
2002;61385070;552786;9005;12556
2003;61824030;570981;9236;12796
2004;62251062;526887;8464;11585
2005;62730537;546037;8704;11753
2006;63186117;533628;8445;11228
2007;63600690;538445;8466;11110
2008;63961859;550132;8601;11103
2009;64304500;556146;8649;10960
2010;64612939;557160;8623;10735
2011;64933400;549056;8456;10305
2012;65241241;578454;8866;10613
2013;65564756;577659;8811;10355
2014;66130873;567666;8584;9909
2015;66422469;601986;9063;10241
2016;66602645;602362;9044;10042
2017;66774482;615664;9220;9920
2018;66883761;618718;9251;9732
2019;66977703;621817;9284;9549
2020;67063703;676982;10095;10150
2021;67407241;484802;9678;9678
