semaine;population;deces;deces covid;taux;taux normalise 2021
2015-01-01;66422469;13460;0;203;229
2015-01-08;66422469;13493;0;203;230
2015-01-15;66422469;12940;0;195;221
2015-01-22;66422469;13256;0;200;224
2015-01-29;66422469;14002;0;211;238
2015-02-05;66422469;14691;0;221;251
2015-02-12;66422469;15022;0;226;257
2015-02-19;66422469;14629;0;220;250
2015-02-26;66422469;13653;0;206;233
2015-03-05;66422469;13054;0;197;223
2015-03-12;66422469;12496;0;188;212
2015-03-19;66422469;12289;0;185;208
2015-03-26;66422469;11683;0;176;199
2015-04-02;66422469;11442;0;172;194
2015-04-09;66422469;11585;0;174;196
2015-04-16;66422469;11098;0;167;189
2015-04-23;66422469;11082;0;167;188
2015-04-30;66422469;10985;0;165;186
2015-05-07;66422469;10787;0;162;182
2015-05-14;66422469;10140;0;153;171
2015-05-21;66422469;10436;0;157;177
2015-05-28;66422469;10655;0;160;181
2015-06-04;66422469;10652;0;160;180
2015-06-11;66422469;10402;0;157;176
2015-06-18;66422469;10309;0;155;175
2015-06-25;66422469;10953;0;165;185
2015-07-02;66422469;11586;0;174;197
2015-07-09;66422469;10282;0;155;175
2015-07-16;66422469;10633;0;160;180
2015-07-23;66422469;10032;0;151;170
2015-07-30;66422469;10580;0;159;179
2015-08-06;66422469;10808;0;163;183
2015-08-13;66422469;10010;0;151;170
2015-08-20;66422469;10354;0;156;175
2015-08-27;66422469;10623;0;160;181
2015-09-03;66422469;10246;0;154;174
2015-09-10;66422469;10627;0;160;181
2015-09-17;66422469;10735;0;162;183
2015-09-24;66422469;10793;0;162;184
2015-10-01;66422469;11501;0;173;196
2015-10-08;66422469;11329;0;171;193
2015-10-15;66422469;11389;0;171;195
2015-10-22;66422469;11664;0;176;200
2015-10-29;66422469;11291;0;170;193
2015-11-05;66422469;10789;0;162;185
2015-11-12;66422469;11078;0;167;189
2015-11-19;66422469;10976;0;165;188
2015-11-26;66422469;11444;0;172;195
2015-12-03;66422469;11492;0;173;197
2015-12-10;66422469;11573;0;174;198
2015-12-17;66422469;11518;0;173;197
2015-12-24;66422469;11745;0;177;201
2016-01-01;66602645;12428;0;187;206
2016-01-08;66602645;12331;0;185;205
2016-01-15;66602645;12573;0;189;208
2016-01-22;66602645;12320;0;185;205
2016-01-29;66602645;12234;0;184;203
2016-02-05;66602645;11904;0;179;197
2016-02-12;66602645;12250;0;184;204
2016-02-19;66602645;11938;0;179;199
2016-02-26;66602645;12289;0;185;204
2016-03-04;66602645;12397;0;186;205
2016-03-11;66602645;12373;0;186;206
2016-03-18;66602645;12396;0;186;207
2016-03-25;66602645;12392;0;186;207
2016-04-01;66602645;12103;0;182;201
2016-04-08;66602645;11812;0;177;197
2016-04-15;66602645;11335;0;170;189
2016-04-22;66602645;10962;0;165;183
2016-04-29;66602645;11176;0;168;186
2016-05-06;66602645;11368;0;171;189
2016-05-13;66602645;10831;0;163;180
2016-05-20;66602645;10792;0;162;179
2016-05-27;66602645;10699;0;161;177
2016-06-03;66602645;10647;0;160;177
2016-06-10;66602645;10359;0;156;172
2016-06-17;66602645;10639;0;160;176
2016-06-24;66602645;10489;0;157;173
2016-07-01;66602645;10626;0;160;176
2016-07-08;66602645;10831;0;163;180
2016-07-15;66602645;11193;0;168;186
2016-07-22;66602645;10607;0;159;176
2016-07-29;66602645;10102;0;152;168
2016-08-05;66602645;10065;0;151;167
2016-08-12;66602645;10755;0;161;179
2016-08-19;66602645;10577;0;159;176
2016-08-26;66602645;10754;0;161;179
2016-09-02;66602645;10546;0;158;175
2016-09-09;66602645;10771;0;162;179
2016-09-16;66602645;10372;0;156;172
2016-09-23;66602645;10810;0;162;181
2016-09-30;66602645;10988;0;165;183
2016-10-07;66602645;11468;0;172;192
2016-10-14;66602645;11746;0;176;197
2016-10-21;66602645;11776;0;177;197
2016-10-28;66602645;11547;0;173;193
2016-11-04;66602645;11675;0;175;196
2016-11-11;66602645;11968;0;180;201
2016-11-18;66602645;12051;0;181;202
2016-11-25;66602645;11632;0;175;196
2016-12-02;66602645;12112;0;182;204
2016-12-09;66602645;12647;0;190;213
2016-12-16;66602645;13063;0;196;219
2016-12-23;66602645;14469;0;217;244
2017-01-01;66774482;15956;0;239;257
2017-01-08;66774482;16271;0;244;263
2017-01-15;66774482;15130;0;227;245
2017-01-22;66774482;15208;0;228;246
2017-01-29;66774482;14870;0;223;240
2017-02-05;66774482;13876;0;208;224
2017-02-12;66774482;13289;0;199;214
2017-02-19;66774482;12337;0;185;198
2017-02-26;66774482;12320;0;185;198
2017-03-05;66774482;11820;0;177;190
2017-03-12;66774482;11354;0;170;182
2017-03-19;66774482;11356;0;170;182
2017-03-26;66774482;11102;0;166;179
2017-04-02;66774482;11005;0;165;177
2017-04-09;66774482;11069;0;166;178
2017-04-16;66774482;10988;0;165;176
2017-04-23;66774482;11411;0;171;184
2017-04-30;66774482;11259;0;169;181
2017-05-07;66774482;11107;0;166;179
2017-05-14;66774482;11041;0;165;178
2017-05-21;66774482;11006;0;165;177
2017-05-28;66774482;10798;0;162;174
2017-06-04;66774482;10089;0;151;162
2017-06-11;66774482;10534;0;158;169
2017-06-18;66774482;11325;0;170;182
2017-06-25;66774482;10114;0;151;162
