Age \ Année;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
0;379319;378518;370754;355103;355311;364215;364878;361651;366547;369731;384619;383317;377643;377523;378844;382399;390493;385472;389674;389720;392649;387379;382564;380049;380056;367869;361116;354011;348433;346324;338936;338259
1;379358;376728;375572;367874;352368;353097;361186;362793;358699;367521;370422;385832;383994;378164;377166;378848;383486;392468;387560;391625;390110;394619;388091;387367;381882;381780;370874;363116;356047;350503;350629;340544
2;383016;381258;378271;376859;369253;353682;354448;362181;364074;360449;369368;372254;387964;385634;379712;377923;380516;385245;394193;388787;393022;392635;396306;393936;388848;383161;384234;372140;364370;357304;353986;350978
3;383078;383240;381473;378439;376842;369188;353415;354647;361573;366290;362604;371646;374613;390622;387886;381892;381186;383914;388266;396711;391136;396059;395246;403635;396473;391375;385980;386463;374362;366607;363828;353828
4;388872;384335;384273;382642;379575;377661;369875;354046;355613;363835;368613;364861;374028;377136;393525;390376;385119;384611;386110;391177;399473;395204;399130;401465;407069;399146;395182;388788;389258;377204;373134;364891
5;384960;389918;385281;385123;383659;380575;378211;370606;354576;357334;365832;370660;366821;376144;379534;396246;393478;386747;387250;388134;392130;402474;397936;406446;404305;410263;401602;397398;391007;391501;382943;373511
6;380851;385574;390606;386022;385796;384484;381312;378757;371218;356466;359109;367889;372748;368895;378498;382134;398979;395575;389510;389075;390250;395492;405288;403624;408464;406535;412310;402799;398575;392202;396929;383431
7;374714;381626;385807;391067;386406;386144;384973;381867;379113;373238;358405;361000;370004;374914;371154;381024;385148;401286;397165;391171;390532;393460;397438;411332;406434;409699;407602;412971;403433;399227;398058;397638
8;399559;375709;382681;386534;391973;387294;386942;386141;383047;380995;375302;360430;362973;372172;377248;373460;382909;387539;403489;399263;392706;392809;396059;403033;414100;407577;411267;408248;413565;404030;405017;399488
9;403771;400328;376716;383827;387353;392900;388157;387927;387531;385271;382861;377385;362465;364984;374568;379574;375258;384110;388557;405710;400957;394996;394244;401782;405017;415288;408403;411377;408314;413625;410316;407089
10;405111;403687;399840;376607;383798;387008;392720;387902;387900;390369;387558;384852;379598;364681;367290;376935;381150;377322;385246;389614;408587;401910;396794;399721;404464;405921;416166;408530;411472;408398;420428;412059
11;382943;405284;403777;399697;376773;384063;386964;392944;388569;391190;393100;389818;386890;381896;367073;369475;379373;382390;379204;386940;390137;410967;404078;401837;402355;404748;405600;415731;408087;411043;413661;421569
12;374913;384278;406282;404717;400278;377502;384791;387441;393707;391417;394328;395820;392096;389043;384401;369382;371844;380724;384167;380636;387899;391538;412168;409557;403340;403433;404844;405117;415247;407591;416483;416755
13;378061;375730;385148;406990;405376;400610;378120;385544;388292;396296;394049;397316;398478;394390;391308;386727;370474;373295;382985;385842;382182;389501;392457;416765;410838;404042;403930;404402;404650;414777;412585;417716
14;368949;379019;376833;386335;407862;406178;401056;378868;386575;391316;399391;397109;400706;401559;397540;393424;389082;371320;374080;384750;387173;383270;392246;397154;418494;411395;405241;403774;404193;404430;419967;416914
15;382468;369917;380131;378192;387703;408952;407078;401943;380117;388340;394381;402543;400340;404057;404835;400588;395274;390277;373484;375872;385830;389041;384849;397018;399406;418878;412586;405172;403632;404036;410987;423328
16;408833;383075;371187;381604;379912;389408;410280;408803;403610;382100;390267;397660;406021;403268;407750;408094;402983;399173;394583;378979;378355;387435;389992;388690;398794;400654;417805;412033;404549;402977;408423;413231
17;438189;408970;384038;372414;382591;380405;389939;410739;409474;404994;383843;392040;400755;408733;406458;411128;408990;406070;402825;397645;380656;377383;387391;392123;388539;397800;395463;414592;408744;401250;404574;408604
18;449518;438331;409096;384243;372642;382470;380113;389841;410612;410098;406310;385539;393879;403676;412162;409657;411373;409625;406271;402836;397344;373245;375563;387348;390993;383901;392026;390731;409817;403919;400573;404297
19;452386;448771;437507;408538;383329;371647;381405;378798;388663;410978;410256;407012;386609;395398;406240;414751;408813;410338;408496;405162;400517;388910;371281;375918;383398;386619;378074;386642;385309;404371;400085;402293
20;441020;450949;447470;435842;407191;381779;370298;380046;377307;387896;411211;410175;407542;387641;396038;408027;411644;405854;406579;405132;401823;392481;385884;369717;371799;378992;379879;372559;381116;379795;400978;403533
21;437543;439929;450098;446484;434338;406218;380739;369425;379106;376834;387625;411750;410515;408156;388452;396665;403847;406703;401520;402516;398494;397249;389503;384023;366518;367075;374369;375237;367909;376479;376606;405339
22;430969;436105;437906;448065;444207;432165;404765;379551;368499;378941;376696;387677;412577;410893;408864;389290;394953;401279;403963;397367;399042;396284;394625;388634;381321;363768;363080;370794;371686;364363;373408;380335
23;429191;430295;435209;436379;446181;442487;430408;404131;379088;368923;379330;377276;388263;413701;411692;409880;387960;394407;400014;401703;394635;398174;393740;394035;385590;378314;361311;359908;367611;368533;363229;376780
24;441051;428807;429909;434057;434478;444395;440999;429136;404766;379572;369760;380256;378283;389067;415017;412580;410113;386179;393909;398344;400180;394466;396877;394751;392849;383188;377791;359589;358188;365901;369197;367795
25;443183;441229;428987;429646;432920;433089;443330;440422;428972;404884;380427;370968;381483;379409;390168;416599;413056;410340;385813;394666;397592;400773;394402;399262;395120;391439;381492;376579;358374;357004;367043;372303
26;451801;444033;442737;429835;429670;432633;432598;443292;440844;429713;405614;381944;372626;383008;380908;391697;418257;413226;410955;386751;397178;398609;402054;397598;398936;396431;390251;381223;376296;358110;361493;370225
