Age \ Année;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
0;399548;397292;389567;371874;371989;380925;384793;381204;383957;388839;404049;400457;395315;394344;397897;399100;409471;403744;408013;407721;412255;401726;402213;399034;392514;384289;377237;368623;363832;360058;352818;352683
1;395294;395897;393218;385468;367965;368710;377392;381136;377855;385327;389754;405337;401206;395762;393777;397565;400418;411304;405090;408630;409005;413795;404195;406989;400484;394021;387510;379067;370450;365656;363956;354519
2;401225;397680;397730;394884;387109;369599;370929;379148;382792;380111;387649;391712;407765;403070;397394;394427;399537;402223;412762;406365;410032;410568;414651;408993;408879;401224;396795;388901;380449;371835;369603;365145
3;399805;401144;397587;397523;394636;386783;369202;370960;378851;385502;382878;390371;394324;410841;405691;399812;397890;401370;405242;414906;409276;413315;414455;420776;411560;411844;403205;398866;390973;382535;377277;371748
4;407266;401616;402614;399205;398918;395932;388010;370303;372561;381526;388290;385657;393191;397188;414231;408624;404076;401147;404548;408419;418184;413263;418232;421967;424319;414453;415088;405922;401583;393693;388504;378148
5;403181;408366;402608;403529;400254;399751;396750;388705;371024;374544;383862;390633;388021;395503;399870;417463;410865;407415;403672;407677;410539;421578;416848;424685;424648;427033;416844;417035;407855;403548;399454;388856
6;397941;403859;409052;403505;404326;401259;400694;397667;389693;373377;376514;386145;392957;390336;397801;402587;421014;413292;409847;405447;409949;413727;424765;422707;427969;426026;428950;418123;418314;409134;409367;399901
7;392061;398632;404022;409362;403860;404531;401629;400939;397885;392015;375696;378462;388365;395169;392599;399420;404760;422753;414887;411740;407274;411850;416369;430602;425475;430360;428265;430385;419545;419746;415669;412459
8;419174;393086;399577;404652;409986;404600;405240;402802;402073;399926;394403;378010;380509;390580;397393;394530;402127;406649;424839;416408;413233;410664;414640;421823;433100;427114;431945;429002;431091;420236;425344;418143
9;423513;419978;394100;400742;405424;410785;405573;406242;404263;405107;401849;396684;380269;382488;392792;398947;397258;403879;408224;426361;418287;415450;413351;420439;423711;433917;427334;431691;428700;430787;426310;428153
10;424202;423648;419554;394057;400752;405031;410575;405306;406280;407809;408141;403944;399079;382569;384567;394317;401690;399361;405436;409656;427892;420746;417006;418356;421996;424797;433764;426900;431235;428212;436984;428836
11;401734;424585;424105;419663;394374;401097;405046;410876;406150;410403;411010;410959;405984;401326;384868;385984;397360;403427;400561;406868;410096;430398;423131;421269;420063;422680;424735;433267;426390;430731;432418;440750
12;392733;403271;425698;425335;420326;395165;401895;405474;411559;409599;414239;414061;413700;407975;403595;386526;387884;399895;404539;401394;407212;411475;432101;428686;422381;421074;423214;424252;432758;425893;437249;436488
13;396889;393616;404266;426515;426105;420643;395729;402518;406193;414480;412630;417752;416839;416161;409950;405169;388560;389406;401463;405790;402050;409004;413950;437131;430816;423271;421249;422959;423963;432473;431859;441459
14;386863;398392;394625;405478;427384;426939;421042;396344;403527;408163;417126;415343;420906;419418;418616;411660;406796;389329;391372;402414;406716;403842;410737;419016;439387;432544;424892;421783;423432;424444;439177;437364
15;400819;388090;399468;395421;406360;427954;427643;421424;397402;403734;409794;419418;417789;423538;421801;420200;414176;407997;391168;393169;404142;408679;405586;416210;421680;440607;435265;425728;422539;424188;432730;443910
