semaine \ age;0;1-10;11-20;21-30;31-40;41-50;51-60;61-70;71-80;81-90;90+;
2019-01-01;89,854195;2,1275003;4,7263055;10,470509;15,894715;43,186703;108,775276;216,18938;463,21497;1484,5626;4575,281;
2019-01-08;78,62242;1,626912;3,6356199;10,337971;16,135544;39,406433;97,43975;210,3907;468,33554;1612,7144;4887,199;
2019-01-15;77,21845;2,6280887;4,120369;8,349899;19,145906;38,490005;101,33276;217,44994;473,06223;1548,139;4779,393;
2019-01-22;85,64228;2,2526474;2,908496;7,0245185;15,653886;41,010185;108,20278;225,76978;468,1386;1679,6195;4996,4424;
2019-01-29;77,21845;2,1275003;4,120369;10,205433;15,774301;42,384827;102,59226;224,25708;490,39337;1649,329;5072,625;
2019-02-05;80,0264;3,0035298;6,059366;9,807818;17,700933;35,511612;98,126755;215,18091;503,5887;1679,6195;5243,6772;
2019-02-12;88,450226;2,3777945;5,211055;9,410204;16,737617;39,979202;105,34027;217,95418;479,56143;1601,0641;4957,6323;
2019-02-19;98,27803;2,7532358;3,8779943;8,217361;15,653886;39,864647;94,004745;218,08025;477,39502;1595,4054;5029,503;
2019-02-26;58,966816;2,6280887;4,362744;7,819747;16,376373;37,459023;97,78325;214,92879;452,383;1527,169;4811,0166;
2019-03-05;68,79462;2,5029416;3,8779943;8,084824;16,978445;37,802685;93,31774;218,33235;427,9618;1441,6233;4467,475;
2019-03-12;81,43037;2,3777945;3,2720578;9,410204;16,858032;36,08438;87,36372;204,46599;433,6732;1351,418;4113,872;
2019-03-19;74,41051;2,5029416;3,5144324;11,398275;15,774301;40,20831;88,05073;187,9524;427,76486;1356,4109;3902,5723;
2019-03-26;70,19859;3,0035298;3,2720578;8,084824;17,821348;39,29188;90,34073;184,80095;426,58322;1339,102;3856,5752;
2019-04-02;84,23831;1,8772062;3,2720578;9,675281;14,570156;34,595184;94,23374;196,65039;414,17566;1339,102;3955,7566;
2019-04-09;75,814476;2,6280887;3,8779943;9,277666;15,774301;34,595184;80,72271;191,10384;412,40314;1263,2096;3797,641;
2019-04-16;74,41051;3,378971;4,362744;8,880052;15,653886;34,709736;88,279724;187,06999;406,49478;1349,0879;3945,6946;
2019-04-23;70,19859;1,1263237;3,3932452;11,000661;16,858032;38,833664;89,19573;194,00317;398,22308;1292,8342;3866,6367;
2019-04-30;89,854195;2,5029416;4,120369;10,868123;15,774301;36,08438;88,50873;186,94394;392,70862;1275,1926;3833,5767;
2019-05-07;84,23831;1,8772062;3,1508706;7,819747;16,737617;36,657146;87,13473;186,31364;414,76648;1261,5453;3610,7778;
2019-05-14;71,60256;1,5017649;3,6356199;9,675281;17,460104;36,198933;87,24922;188,70872;417,12982;1274,1941;3790,454;
2019-05-21;98,27803;1,5017649;3,756807;8,747514;16,255959;36,7717;85,87522;195,01164;404,91922;1220,9362;3543,2192;
2019-05-28;64,5827;2,0023532;5,4534297;10,205433;13,486425;34,82429;88,62323;184,0446;386,9972;1200,6317;3607,903;
2019-06-04;87,04626;1,3766179;3,2720578;8,084824;14,810985;36,657146;85,64622;182,78401;394,08722;1164,3497;3272,9858;
2019-06-11;89,854195;1,8772062;3,5144324;8,747514;17,821348;36,7717;96,63825;196,14616;373,21106;1159,3568;3538,9072;
2019-06-18;75,814476;2,0023532;3,9991817;7,9522853;14,931399;38,2609;92,40174;188,45663;399,9956;1184,3214;3396,6035;
2019-06-25;84,23831;2,5029416;7,392427;11,1332;19,50715;37,459023;91,142235;205,60051;414,56952;1275,8583;3682,6482;
2019-07-02;57,562847;3,0035298;4,847493;10,868123;13,727254;35,855274;88,50873;199,80183;391,92084;1177,3313;3515,9087;
2019-07-09;92,66214;2,6280887;3,2720578;10,205433;15,653886;37,459023;89,42473;183,03613;395,46585;1163,3512;3278,7356;
2019-07-16;82,834335;2,2526474;4,120369;9,940356;15,653886;39,29188;92,74524;190,59961;401,96503;1189,6472;3406,665;
2019-07-23;87,04626;2,1275003;4,120369;10,735585;16,01513;39,29188;91,37124;196,39827;418,11456;1289,5056;3833,5767;
2019-07-30;95,470085;1,626912;3,8779943;8,084824;14,810985;36,657146;85,53172;183,66641;373,408;1156,0282;3451,2249;
2019-08-06;82,834335;1,626912;3,6356199;9,542743;16,135544;32,762325;93,89024;181,27132;384,43692;1180,327;3386,5415;
2019-08-13;85,64228;2,0023532;4,362744;7,157057;14,69057;37,459023;80,26471;183,03613;377,14996;1130,7307;3364,9802;
2019-08-20;96,874054;2,878383;4,483931;8,614976;16,01513;41,010185;83,58521;178,87622;383,84607;1199,3002;3597,841;
2019-08-27;74,41051;2,5029416;2,6661212;13,783961;15,533472;35,511612;87,478226;185,5573;387,3911;1233,9178;3705,6467;
2019-09-03;71,60256;2,5029416;3,1508706;8,217361;16,978445;32,418667;80,951706;183,54036;379,90717;1169,6754;3406,665;
2019-09-10;74,41051;2,7532358;5,3322425;12,326042;17,821348;37,11536;86,90572;186,18758;390,73917;1201,9631;3659,6494;
2019-09-17;87,04626;1,8772062;3,8779943;8,747514;18,18259;37,68813;83,241714;183,91855;405,90393;1246,2336;3695,585;
2019-09-24;68,79462;2,7532358;3,756807;7,554671;13,847669;32,418667;87,24922;186,81787;405,11615;1207,6217;3590,6538;
2019-10-01;65,98668;2,7532358;3,5144324;6,7594423;14,570156;34,13697;86,67672;190,59961;426,58322;1231,9207;3859,4497;
2019-10-08;65,98668;1,626912;5,4534297;9,145128;14,931399;41,010185;87,24922;196,65039;418,70538;1238,9106;3962,9434;
2019-10-15;89,854195;2,878383;3,2720578;8,747514;13,847669;32,647774;89,88273;185,68333;420,08398;1266,5382;3939,9448;
2019-10-22;81,43037;3,6292653;3,6356199;9,940356;13,606839;38,146343;88,394226;191,10384;414,96344;1277,1898;3921,2585;
2019-10-29;58,966816;2,2526474;4,362744;9,012589;16,135544;34,82429;88,85223;190,22142;426,1893;1313,8046;4178,555;
2019-11-05;70,19859;1,7520591;3,3932452;9,542743;15,413057;35,511612;92,28724;190,22142;431,70377;1290,1714;4054,9377;
2019-11-12;99,682;1,0011766;2,908496;8,880052;17,580519;35,969826;88,73773;195,76797;447,45938;1359,4066;4385,5425;
2019-11-19;63,178734;2,0023532;3,1508706;9,012589;18,062176;38,490005;84,157715;195,51587;443,52048;1432,3033;4443,039;
2019-11-26;84,23831;2,6280887;3,5144324;9,145128;14,449741;38,604557;88,96673;205,22234;427,56793;1370,0582;4415,728;
2019-12-03;70,19859;2,878383;4,120369;7,9522853;16,01513;35,397057;85,76072;202,19695;448,83798;1386,0355;4271,987;
2019-12-10;88,450226;2,6280887;3,6356199;9,277666;13,245596;36,08438;96,52375;197,65886;439,7785;1414,6616;4397,042;
2019-12-17;73,00654;1,8772062;3,5144324;8,482437;14,088498;37,34447;99,84425;203,33145;451,3983;1442,6221;4524,971;
2019-12-24;78,62242;2,5029416;2,908496;7,819747;17,700933;35,282505;94,11924;208,24773;445,29297;1437,629;4320,8594;
2020-01-01;62,28924;2,9165673;3,7480476;10,686517;15,375154;42,463238;97,574905;224,9942;427,53488;1530,1664;4410,696;
2020-01-08;79,27722;2,0289164;5,4407144;7,614143;15,255035;41,074795;91,28344;205,04523;466,14612;1484,8405;4574,5137;
2020-01-15;65,120575;1,7753018;3,506238;8,816376;13,333141;36,678055;98,947586;204,54019;430,3464;1437,8601;4336,3584;
2020-01-22;79,27722;2,282531;3,2644286;10,552935;13,333141;34,479687;96,77417;198,98477;433,53275;1441,4995;4362,514;
2020-01-29;66,53624;2,6629527;4,715286;8,816376;16,816574;41,88472;92,99929;205,80278;432,59558;1456,0568;4380,41;
2020-02-05;79,27722;2,6629527;4,594381;8,014888;13,573378;37,372276;99,40515;200,1211;422,09933;1397,4968;4330,8516;
2020-02-12;92,018196;2,0289164;4,473476;9,885028;18,137877;41,421906;88,30929;192,92432;444,9662;1393,5267;4285,4233;
2020-02-19;79,27722;2,1557236;4,594381;11,087261;12,972786;33,66976;95,17271;202,015;409,35388;1326,6957;3942,6445;
2020-02-26;75,03023;1,9021091;3,506238;10,4193535;15,855627;37,372276;100,09149;197,59592;422,28674;1402,7904;4096,826;
2020-03-04;69,36757;1,9021091;3,022619;8,549213;17,17693;37,950794;95,74466;212,11575;434,65738;1393,8575;4118,852;
2020-03-11;75,03023;2,282531;3,2644286;11,755168;15,615391;37,372276;91,28344;207,44415;474,9555;1525,5345;4319,8384;
2020-03-18;75,03023;2,1557236;3,022619;9,617865;15,735509;37,950794;98,261246;236,4838;539,245;1676,4006;4644,7217;
2020-03-25;62,28924;2,0289164;1,4508572;8,28205;17,777521;44,77731;114,96223;262,36697;641,77094;2102,862;5736,3823;
2020-04-01;42,46994;3,0433745;3,6271427;7,614143;16,456219;44,893013;111,988075;264,38712;647,3939;2367,2087;6655,9653;
2020-04-08;80,69289;1,5216873;3,506238;8,949958;19,33906;39,91776;104,89588;243,04929;578,4186;2044,3024;6230,59;
2020-04-15;65,120575;1,5216873;2,9017143;7,614143;13,453259;35,058205;92,08417;218,68123;501,00867;1743,5626;5356,435;
2020-04-22;72,1989;1,39488;2,539;6,0111656;14,89468;33,438354;90,5971;205,17148;437,84372;1443,4845;4370,774;
2020-04-29;62,28924;2,0289164;2,539;7,7477245;13,573378;36,56235;83,73368;187,36891;408,79156;1266,1508;3804,9822;
2020-05-06;73,61456;1,2680727;2,418095;6,9462357;12,372194;33,785465;88,53807;186,48509;397,35815;1193,6952;3711,372;
2020-05-13;89,18687;1,39488;3,8689523;9,751447;16,215982;38,41361;89,91075;190,90417;409,16647;1173,5137;3689,346;
2020-05-20;66,53624;1,7753018;4,594381;9,083539;15,134917;37,48798;93,57124;190,39914;396,60843;1201,9664;3566,827;
2020-05-27;87,77121;2,78976;3,989857;8,549213;14,534325;38,1822;89,11002;180,67717;387,9865;1158,9563;3382,3594;
2020-06-03;75,03023;1,7753018;3,8689523;9,21712;15,735509;33,785465;83,96246;178,90953;379,552;1145,7225;3334,1777;
2020-06-10;65,120575;1,6484946;3,8689523;8,682795;18,137877;38,41361;88,08051;197,21715;374,3039;1161,6031;3317,658;
2020-06-17;86,355545;1,0144582;3,022619;8,415631;14,4142065;35,752426;86,59344;177,64694;384,98758;1224,1332;3455,3206;
2020-06-24;80,69289;1,5216873;4,715286;8,682795;15,975746;39,68635;85,44953;191,66173;388,5488;1206,5983;3466,3335;
2020-07-01;65,120575;2,282531;4,594381;7,0798173;19,33906;35,86813;86,13588;192,6718;371,67984;1119,5856;3102,9055;
2020-07-08;75,03023;2,282531;4,1107616;10,152191;12,852668;35,405315;91,28344;179,16206;387,79907;1136,1278;3331,4243;
2020-07-15;79,27722;1,9021091;5,1989045;9,350702;14,774562;36,330944;84,30563;185,475;385,36246;1134,4736;3195,1387;
